boletin,titulo,origen_iniciativa,codigo_destinacion,comision_destino_sufijo,comision_origen_evento,comision_origen_proxy,origin_proxy_source,origin_proxy_mismatch,tema_proxy_origen,materia_pagina,materias_oficiales,comisiones_tramitacion,temas_proxy_trayectoria,comisiones_sustantivas,ministerios,text_quality,signal_strength,review_reason,origin_evidence_event
18263-03,Para la protección de la vivienda propia y el resguardo del pago de los créditos hipotecarios ante el alza de la unidad de fomento,parlamentario,03,"Economía, Fomento, MIPYMES, Consumidores y Turismo",,"Economía, Fomento, MIPYMES, Consumidores y Turismo",sufijo_boletin,0,"Economía, comercio y consumidores",,,"Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, comercio y consumidores","Economía, Fomento, MIPYMES, Consumidores y Turismo",,rica,alta,,
18264-07,"Modifica el artículo 57 de la Constitución Política de la República, para eliminar la facultad de las autoridades locales y regionales de renunciar a sus cargos para ser candidatos a diputados y senadores",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18265-07,Modifica textos legales que indica en materia de procedencia de la prisión preventiva y penas sustitutivas a las privativas y restrictivas de libertad,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento | Seguridad Ciudadana",Constitución y justicia | Seguridad,Seguridad Ciudadana,,rica,media,origen_transversal_con_comision_sustantiva | trayectoria_multitematica,
18266-15,Establece un número único de emergencias en concesiones viales,parlamentario,15,Transportes y Telecomunicaciones,,Transportes y Telecomunicaciones,sufijo_boletin,0,Transportes y telecomunicaciones,,,Transportes y Telecomunicaciones,Transportes y telecomunicaciones,Transportes y Telecomunicaciones,,rica,alta,,
18463-06,"Suspende la aplicación del mecanismo de actualización de escaños parlamentarios previsto en el artículo 189 de la ley N° 18.700, orgánica constitucional sobre Votaciones Populares y Escrutinios",parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18253-25,"Modifica diversos cuerpos legales, con el objeto de fortalecer la protección y seguridad en los establecimientos de salud",parlamentario,25,Seguridad Ciudadana,,Seguridad Ciudadana,sufijo_boletin,0,Seguridad,,,Seguridad Ciudadana,Seguridad,Seguridad Ciudadana,,rica,alta,,
18254-11,"Modifica diversos cuerpos legales, con el objeto de aumentar las sanciones ante el incumplimiento del período de asignación obligatoria por parte de los profesionales del área de la salud que indica",parlamentario,11,Salud,,Salud,sufijo_boletin,0,Salud,,,Salud,Salud,Salud,,rica,alta,,
18267-24,"Modifica la ley N° 19.928, sobre fomento de la música chilena, para regular y proteger la participación de teloneros chilenos en conciertos de artistas extranjeros",parlamentario,24,"Cultura, Artes y Comunicaciones",,"Cultura, Artes y Comunicaciones",sufijo_boletin,0,Cultura y comunicaciones,,,"Cultura, Artes y Comunicaciones",Cultura y comunicaciones,"Cultura, Artes y Comunicaciones",,rica,alta,,
18268-06,Modifica textos legales que indica para fortalecer la transparencia activa y la rendición de cuentas en la ejecución de los aportes fiscales de libre disposición del royalty minero,parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18269-01,"Establece medidas de prevención y control de riesgos asociados a perros salvajes o ferales, en la seguridad de las personas, el ganado y la fauna silvestre",parlamentario,01,"Agricultura, Silvicultura y Desarrollo Rural",,"Agricultura, Silvicultura y Desarrollo Rural",sufijo_boletin,0,Agricultura y mundo rural,,,"Agricultura, Silvicultura y Desarrollo Rural",Agricultura y mundo rural,"Agricultura, Silvicultura y Desarrollo Rural",,rica,alta,,
18270-25,"Regula la fabricación, acondicionamiento, importación, comercialización y uso de vehículos blindados de uso particular",parlamentario,25,Seguridad Ciudadana,,Seguridad Ciudadana,sufijo_boletin,0,Seguridad,,,Seguridad Ciudadana,Seguridad,Seguridad Ciudadana,,rica,alta,,
18271-07,Establece la obligación de declarar los aportes provenientes desde el extranjero para personas jurídicas sin fines de lucro,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18281-15,Modifica la Ley de Tránsito para establecer una excepción acotada a la restricción vehicular respecto de vehículos destinados al funcionamiento de ferias libres legalmente autorizadas,parlamentario,15,Transportes y Telecomunicaciones,,Transportes y Telecomunicaciones,sufijo_boletin,0,Transportes y telecomunicaciones,,,Transportes y Telecomunicaciones,Transportes y telecomunicaciones,Transportes y Telecomunicaciones,,rica,alta,,
18282-07,"Modifica el Código Penal para sancionar toda forma de instrumentalización de niños, niñas y adolescentes para cometer delitos",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18283-35,Dispone como beneficiarios de la cuota preferente de inclusión laboral a las y los cuidadores no remunerados y otras personas que indica,parlamentario,35,Personas Mayores y Discapacidad,,Personas Mayores y Discapacidad,sufijo_boletin,0,Personas mayores y discapacidad,,,Personas Mayores y Discapacidad | Trabajo y Seguridad Social,Personas mayores y discapacidad | Trabajo y seguridad social,Personas Mayores y Discapacidad | Trabajo y Seguridad Social,,rica,alta,trayectoria_multitematica,
18284-29,"Establece medidas de control, prohibición y resguardo de la integridad deportiva respecto de plataformas de apuestas en línea no autorizadas",parlamentario,29,Deportes y Recreación,,Deportes y Recreación,sufijo_boletin,0,Deportes,,,Deportes y Recreación,Deportes,Deportes y Recreación,,rica,alta,,
18255-31,Establece un beneficio de compensación por la compra de pañales y de medicamentos,ejecutivo,31,Desarrollo Social,,Desarrollo Social,sufijo_boletin,0,Desarrollo social,,,Desarrollo Social,Desarrollo social,Desarrollo Social,Ministerio de Hacienda | Ministerio de Trabajo y Previsión Social,rica,alta,,
18256-10,"Aprueba el Acuerdo entre la República de Chile y la República Helénica sobre el empleo remunerado de dependientes de miembros de una misión diplomática o representación consular, suscrito en Santiago, el 24 de abril de 2024",ejecutivo,10,Relaciones Exteriores,,Relaciones Exteriores,sufijo_boletin,0,Relaciones exteriores,,,Relaciones Exteriores,Relaciones exteriores,Relaciones Exteriores,Ministerio de Relaciones Exteriores,rica,alta,,
18257-10,"Aprueba el Acuerdo general sobre los privilegios e inmunidades de la Organización Internacional de Policía Criminal-INTERPOL, aprobado en Marrakech, Marruecos, el 24 de noviembre de 2025",ejecutivo,10,Relaciones Exteriores,,Relaciones Exteriores,sufijo_boletin,0,Relaciones exteriores,,,Relaciones Exteriores,Relaciones exteriores,Relaciones Exteriores,Ministerio de Relaciones Exteriores,rica,alta,,
18258-07,"Modifica la ley N°18.415, orgánica constitucional de los estados de excepción, en materia de control de identidad y otros",ejecutivo,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,Ministerio de Justicia y de Derechos Humanos | Ministerio del Interior | Ministerio de Seguridad Pública | Ministerio de Defensa Nacional,rica,media,origen_transversal,
18259-08,"Modifica el Código de Minería y las leyes números 21.420 y 21.649, en materia de amparo minero y otras materias que indica",ejecutivo,08,Minería y Energía,Hacienda,Hacienda,evento_cuenta_vs_sufijo,1,Economía y hacienda,,,Minería y Energía | Hacienda,Minería y energía | Economía y hacienda,Minería y Energía,Ministerio de Hacienda | Ministerio de Minería,rica,media,discrepancia_origen_evento_vs_sufijo | origen_transversal_con_comision_sustantiva | trayectoria_multitematica,Primer informe de comisión. Pasa a Comisión de Hacienda
18285-05,Modifica los cuerpos legales que indica para fortalecer la publicidad y transparencia en materia de modificación presupuestaria,parlamentario,05,Hacienda,,Hacienda,sufijo_boletin,0,Economía y hacienda,,,Hacienda,Economía y hacienda,,,rica,media,origen_transversal,
18290-15,Establece una exención del pago de peajes en situaciones de emergencia que indica,parlamentario,15,Transportes y Telecomunicaciones,,Transportes y Telecomunicaciones,sufijo_boletin,0,Transportes y telecomunicaciones,,,Transportes y Telecomunicaciones,Transportes y telecomunicaciones,Transportes y Telecomunicaciones,,rica,alta,,
18260-07,"Crea los Tribunales de Familia, con el objeto de establecer un procedimiento especial para la determinación de la responsabilidad parental en el caso de daños provocados por niños, niñas y adolescentes.",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18261-13,Declara el día 4 de noviembre de cada año como el Día Nacional del Trabajador de Cementerios,parlamentario,13,Trabajo y Seguridad Social,,Trabajo y Seguridad Social,sufijo_boletin,0,Trabajo y seguridad social,,,Trabajo y Seguridad Social,Trabajo y seguridad social,Trabajo y Seguridad Social,,rica,alta,,
18272-37,Declara el trabajo de las mujeres descoladoras en la industria pesquera como patrimonio cultural inmaterial de Chile,parlamentario,37,,,,sin_proxy,0,,,,,,,,rica,baja,codigo_destinacion_no_mapeado | sin_proxy_comision_origen,
18273-21,"Modifica la Ley General de Pesca y Acuicultura, con el objeto de reconocer las actividades conexas a la pesca industrial.",parlamentario,21,"Pesca, Acuicultura e Intereses Marítimos",,"Pesca, Acuicultura e Intereses Marítimos",sufijo_boletin,0,Pesca y acuicultura,,,"Pesca, Acuicultura e Intereses Marítimos",Pesca y acuicultura,"Pesca, Acuicultura e Intereses Marítimos",,rica,alta,,
18274-07,"Modifica la Carta Fundamental, con el objeto de consagrar el deber del Estado de resguardar la soberanía digital",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18275-12,"Modifica diversos cuerpos legales, con el objeto de precisar las funciones ecosistémicas esenciales de los humedales urbanos y los criterios para su delimitación y protección.",parlamentario,12,Medio Ambiente y Recursos Naturales,,Medio Ambiente y Recursos Naturales,sufijo_boletin,0,Medio ambiente,,,Medio Ambiente y Recursos Naturales,Medio ambiente,Medio Ambiente y Recursos Naturales,,rica,alta,,
18276-07,"Modifica el número 1° del artículo 447 del Código Penal, con el objeto de actualizar los términos utilizados en la tipificación del delito de hurto doméstico",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18277-04,Restringe el uso de redes sociales por parte de los menores de edad que indica,parlamentario,04,Educación,,Educación,sufijo_boletin,0,Educación,,,Educación,Educación,Educación,,rica,alta,,
18278-13,"Sanciona las acusaciones falsas en materia laboral, y modifica el Código Penal y el Código del Trabajo del modo que indica",parlamentario,13,Trabajo y Seguridad Social,,Trabajo y Seguridad Social,sufijo_boletin,0,Trabajo y seguridad social,,,Trabajo y Seguridad Social,Trabajo y seguridad social,Trabajo y Seguridad Social,,rica,alta,,
18289-01,"Modifica el DFL N° 30, de 2004, que aprueba el texto refundido, coordinado y sistematizado del decreto con fuerza de ley de Hacienda N° 213, de 1953, sobre ordenanza de aduanas, para establecer sanciones en caso de contrabando de productos agropecuarios infestados",parlamentario,01,"Agricultura, Silvicultura y Desarrollo Rural",,"Agricultura, Silvicultura y Desarrollo Rural",sufijo_boletin,0,Agricultura y mundo rural,,,"Agricultura, Silvicultura y Desarrollo Rural",Agricultura y mundo rural,"Agricultura, Silvicultura y Desarrollo Rural",,rica,alta,,
